Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3374-1172-0477-92953,2021-10-18,1634570770,Charged,htc_ocndugl,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,COP,"22,500.00",0.00,"22,500.00",Cal,VALLE,,CO,,
GPA.3370-0555-2847-26242,2021-10-18,1634578750,Charged,HANNSPAD,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.95,1.04,5.99,,,,NL,,
GPA.3335-2320-0021-73624,2021-10-18,1634582416,Charged,ocean,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,128.45,20.55,149.00,Monterrey,N.L.,64860,MX,,
GPA.3336-7911-4987-24456,2021-10-18,1634587590,Charged,HWVOG,Remove all Ads forever (Currency Convert - Exchange Rate),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,SEK,24.80,6.20,31.00,,,,SE,,
GPA.3329-6603-9918-30143,2021-10-18,1634600527,Charged,1930,removeads (Compass :Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,TWD,84.00,4.00,88.00,,,426,TW,,
GPA.3333-7543-8287-78522,2021-10-18,1634600689,Charged,r8q,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,0.30,6.29,CHEYENNE,WY,82007,US,,
GPA.3322-0757-2503-47467,2021-10-18,1634600703,Charged,a10s,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CAD,7.49,0.37,7.86,Calgary,AB,T2K 0B5,CA,,
GPA.3338-7045-1964-50209,2021-10-19,1634609738,Charged,2027,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,PEN,22.99,0.00,22.99,Miche,LA LIBERTAD,13600,PE,,
GPA.3361-4315-4284-06935,2021-10-19,1634618252,Charged,m21,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Noida,Uttar Pradesh,201301,IN,,
GPA.3310-2514-0477-05709,2021-10-19,1634628368,Charged,a02q,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.52,0.47,5.99,,,,RE,,
GPA.3311-4749-6466-17374,2021-10-19,1634629831,Charged,q2q,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.95,1.04,5.99,,,,BE,,
GPA.3306-7316-1333-71906,2021-10-19,1634637986,Charged,G3212,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,3.99,1.00,4.99,,,,FR,,
GPA.3370-8806-5109-97330,2021-10-19,1634639180,Charged,joyeuse,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,UAH,149.99,0.00,149.99,,,,UA,,
GPA.3381-5084-6409-20118,2021-10-19,1634642242,Charged,a51,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,IDR,"89,000.00","8,900.00","97,900.00",Bogor,JAWA BARAT,,ID,,
